cow_id,site_id,distance_km,travel_time_hr,total_time_hr,travel_cost_vnd,total_cost_vnd
COW_001,J_00001,3.8332745386196416,0.07666549077239283,0.5766654908,8816.531438825175,20008816.531438825175
COW_002,J_00884,6.2844684597134375,0.11426306290388068,0.6142630629,14454.277457340906,15014454.277457340906
COW_005,J_00125,6.4282828649525054,0.12856565729905012,0.62856565729,14785.050589390763,20014785.050589390763
COW_006,J_00381,18.546022702596456,0.33720041277448104,0.83720041277,42655.85221597185,15042655.85221597185
COW_013,J_00725,2.2061455868811937,0.04412291173762387,0.5441229117376239,5074.134849826745,20005074.134849826745
COW_014,J_00807,3.377459891477677,0.2481323992831883,0.74813239928,31388.748509323323,15031388.748509323323
COW_018,J_00607,8.53371290162602,0.15515841639320035,0.65515841639,19627.539673739844,15019627.539673739844
COW_020,J_00792,5.000856215518304,0.10001712431036608,0.6000171243103661,11501.969295692099,20011501.969295692099
COW_021,J_00991,25.43317290790999,0.5086634581581998,1.00866345816,58496.29768819298,20058496.29768819298
COW_023,J_00935,1.7371512819491757,0.29352572774141833,0.79352572774,37131.00455928942,15037131.00455928942
COW_024,J_00404,19.371621367620545,0.3522112975931008,0.85221129759,44554.72914552725,15044554.72914552725
COW_025,J_00761,19.550535049818663,0.3554642736330666,0.85546427363,44966.23061458293,20044966.23061458293
COW_027,J_00241,20.802674264538222,0.3467112377423037,0.84671123774,47846.15080843791,10047846.15080843791
COW_028,J_00650,4.168770875583562,0.08337541751167125,0.5833754175116713,9588.173013842194,20009588.173013842194
COW_029,J_00412,28.769579787365018,0.5230832688611822,1.02308326886,66170.03351093954,15066170.03351093954
COW_030,J_00017,29.00087700948197,0.5272886728996722,1.0272886729,66702.01712180853,15066702.01712180853
COW_031,J_00361,1.7377271126266527,0.034754542252533056,0.5347545422525331,3996.772359041301,20003996.772359041301
COW_033,J_00008,2.7329680878932594,0.05465936175786519,0.5546593617578652,6285.826602154497,20006285.826602154497
COW_034,J_00169,2.8941062886080817,0.05788212577216163,0.5578821257721616,6656.444463798588,20006656.444463798588
